year,price,ann_return
1989,24.494144,22.94137152756679
1990,30.810261,17.81461339144488
1991,36.81826,5.895033622660726
1992,39.053959,5.14969124215262
1993,41.117802,-12.174124652190251
1994,36.404774,15.081673447896696
1995,42.330872,21.71757958941212
1996,52.598755,21.408968810702575
1997,65.155853,43.84186722782796
1998,101.00811,6.368066954247372
1999,107.649597,-11.372966379832418
2000,96.077179,41.0368907861323
2001,144.824219,-0.5860450273508606
2002,143.977966,-32.47078210003322
2003,104.058418,39.54782496695662
2004,154.53656,28.33058514947136
2005,205.149002,5.567451067110806
2006,216.894501,29.990178563772318
2007,292.748199,1.9275699097461492
2008,298.445862,-12.406762485563716
2009,263.62323,20.703323774428004
2010,324.262756,-2.451434490100147
2011,316.410309,-19.455809611849865
2012,260.468445,15.51571484492063
2013,304.185852,-6.595825148502714
2014,284.769653,-31.374163347784496
2015,208.083405,-25.938753032266394
2016,160.541336,11.534506579128955
2017,180.16922,7.67442995777413
2018,194.540588,8.118354044253746
2019,210.992874,13.005731957273573
2020,240.298447,1.1826829701485757
2021,243.157288,20.00236291345639
