# y,x1,x2
1,2.97,8.28
2,9.91,4.35
1,3.27,8.47
2,5.35,9.57
2,8.34,8.52
1,1.76,6.57
2,5.73,9.32
2,1.42,8.82
2,2.64,9.14
1,5.65,2.5
2,6.06,4.76
2,1.17,1.01
1,4.15,8.36
2,8.72,6.55
1,5.93,2.8
2,1.73,9.26
1,7.17,4.88
2,1.88,2.06
1,7.71,5.62
2,0.32,4.13
1,5.98,8.3
2,3.96,5.42
2,6.53,4.17
2,4.08,9.45
2,0.07,9.07
2,4.89,3.9
2,8.97,3.66
2,6.34,4.36
1,6.7,2.36
1,8.18,6.6
1,7.79,3.17
2,5.51,6.45
2,8.83,8.5
2,4.92,6.15
2,2.18,8.74
2,4.66,0.24
2,8.4,8.56
2,1.02,6.53
2,4.24,3.78
2,0.52,6.75
1,7.94,4.63
2,1,1.23
2,2.43,1.32
2,2.53,1.39
2,9.91,8.5
2,4.53,9.36
2,9.95,8.61
2,3.79,0.76
2,0.53,5.96
2,1.7,0.28
2,8.81,8.49
1,8.2,5.59
2,9.04,4.35
2,0.06,1.42
2,2.94,9
2,6.23,0.84
2,8.75,6.8
2,0.49,9.93
1,7.37,7.3
1,6.65,2.68
1,3.86,7.88
2,0.3,2.45
2,7.7,9.4
2,9.24,6.84
1,2.97,7.12
2,5.64,5.45
1,8.75,3.67
2,3.45,0.55
1,2.06,3.14
2,1.51,1.47
2,3.2,5.41
2,0.99,6.56
2,9.17,6.68
2,6.88,5.17
1,3.55,6.7
2,9.59,6.25
1,6.02,2.02
2,0.94,2.54
1,2,7.38
2,9.82,1.81
2,9.09,2.92
2,6.58,0.23
2,1.43,2.72
1,8.31,6.61
2,5.67,6.53
2,1.16,0.39
1,7.82,2.42
2,2.62,8.52
2,6.87,5.03
2,8.18,0.66
2,0.89,7.07
1,8.5,6
2,2.3,9.75
2,5.61,3.12
1,7.33,5.67
2,9.88,3.91
2,2.98,1.24
2,8.76,2.41
1,1.95,4.84
1,2.82,3.95
2,9.28,8.44
1,3.72,2.99
1,2.23,7.2
1,1.22,3.71
1,3.32,1.47
1,7.52,3.53
2,1.75,1.6
2,4.23,6.2
2,4.49,9.36
1,2.51,7.69
2,6.63,4.47
2,8.98,2.29
2,4.67,4.47
1,3.32,7.16
2,8.99,8.56
1,6.33,6.58
2,4.47,3.32
2,5.63,4.32
2,9.48,2.51
1,5.37,8.65
2,1.48,0.01
2,1.35,3.03
2,8.72,8.4
1,1.86,5.61
2,7.68,0.61
1,3.31,2.58
1,3.07,4.4
1,6.83,3.37
1,7.48,2.86
2,1.32,1.82
1,5.98,6.82
1,3.65,6.61
1,7.66,2.19
2,6.97,9.96
1,4.95,8.68
1,5.39,8.31
2,7.83,1.73
2,5.7,3.98
2,3.54,5.67
2,0.27,7.38
2,1.61,7.25
2,7.5,9.48
2,2.96,9.8
2,4.38,3.52
2,7.44,1.14
2,9.67,5.87
2,5.18,5.55
2,1.36,1.44
1,2.85,5.07
1,4.52,2.91
2,1.99,7.76
2,0.53,5.99
2,5.46,9.26
2,9.07,6.29
2,3.31,6.07
1,2.43,4.03
2,1.56,2.25
2,4.75,5.77
1,4.74,1.21
2,6.83,8.89
2,9.78,4.12
2,4.93,5.86
1,4.15,2.45
2,1.09,9.12
2,5.92,4.04
2,9.92,9.84
2,9.39,8.54
1,3.29,8.22
1,7.39,5.69
2,9.84,2.85
1,4.27,2.74
2,0.73,2.21
2,8.45,8.51
2,9.83,2.23
2,0.96,1.79
2,6.04,4.62
2,7.23,8.89
1,5.29,2.84
2,0.77,1.26
1,6.75,1.63
1,6.42,1.46
1,7.06,1.92
2,4.83,5.42
1,5.1,2.61
2,7.32,1.65
2,1.31,2.11
2,6.64,4
2,9.24,8.41
1,4.71,2.56
2,9.41,1.22
2,0.35,0.83
1,6.46,8.31
2,0.89,1.18
1,8.44,6.78
1,1.25,6.39
2,8.9,1.17
2,7.13,9
1,4.71,2.17
2,4.63,0.57
2,0.07,2.29
