y,x1,x2
2.0,58.777,24.827
1.0,16.428,21.871
1.0,79.472,52.648
2.0,74.571,0.057
1.0,5.931,71.123
1.0,19.114,62.036
1.0,81.304,63.157
2.0,32.742,96.756
1.0,98.088,38.908
1.0,96.356,12.99
2.0,74.449,8.18
1.0,83.115,37.302
1.0,14.554,18.058
1.0,7.451,48.079
1.0,55.637,44.851
1.0,64.225,44.74
1.0,81.364,51.414
2.0,76.549,6.31
2.0,6.377,4.005
1.0,15.817,72.694
1.0,13.89,51.25
2.0,13.344,4.018
2.0,88.017,90.258
2.0,49.099,70.815
2.0,68.926,2.529
1.0,94.566,72.107
2.0,84.808,92.014
2.0,54.873,20.1
1.0,13.872,80.956
2.0,62.734,67.863
1.0,12.021,28.509
1.0,29.677,67.36
2.0,13.656,11.96
1.0,27.076,71.015
1.0,93.462,39.596
1.0,1.789,83.08
1.0,72.659,67.722
1.0,97.965,22.996
1.0,74.706,27.731
1.0,58.089,57.335
2.0,77.76,8.031
2.0,66.144,30.981
1.0,37.988,55.611
2.0,56.079,79.179
2.0,38.009,29.109
2.0,26.08,10.673
1.0,14.437,64.155
1.0,36.335,55.683
2.0,39.135,7.251
2.0,19.751,9.93
1.0,22.776,26.403
1.0,90.454,10.898
1.0,89.706,45.658
1.0,82.066,65.818
2.0,44.24,15.142
2.0,60.543,8.003
1.0,26.815,28.078
2.0,19.823,15.298
1.0,62.034,51.606
1.0,7.698,55.501
1.0,67.335,55.967
1.0,69.122,68.802
2.0,83.879,12.61
2.0,63.712,89.551
2.0,17.454,2.264
1.0,7.314,16.096
1.0,1.75,74.247
2.0,31.514,97.762
1.0,5.226,13.642
2.0,49.133,58.704
1.0,12.972,61.287
1.0,19.935,46.014
2.0,88.282,99.816
1.0,90.435,73.518
1.0,3.003,96.317
2.0,57.578,62.924
2.0,13.682,1.723
1.0,28.419,45.061
1.0,72.151,60.187
1.0,18.213,23.428
2.0,54.242,8.445
2.0,43.295,71.194
1.0,92.299,20.124
1.0,69.675,37.824
1.0,82.586,60.606
2.0,49.138,75.463
1.0,91.515,64.592
1.0,94.693,74.437
1.0,0.343,23.968
2.0,78.143,97.2
1.0,81.187,68.163
1.0,86.791,21.68
2.0,32.273,27.899
1.0,95.097,64.614
1.0,67.784,62.799
1.0,91.302,42.023
1.0,30.586,35.245
1.0,96.522,9.12
2.0,42.539,4.588
2.0,40.69,75.045
2.0,20.488,7.523
2.0,40.673,71.048
1.0,90.418,72.389
1.0,17.355,59.055
1.0,67.775,64.603
2.0,41.644,62.4
2.0,14.199,93.278
1.0,97.622,28.325
1.0,97.471,27.363
2.0,12.546,8.123
2.0,44.444,23.568
2.0,57.025,20.654
2.0,48.732,22.356
1.0,12.551,28.492
2.0,52.502,95.93
1.0,2.18,53.386
2.0,49.119,27.683
1.0,97.771,41.999
2.0,39.453,94.529
1.0,63.091,38.953
1.0,3.774,20.557
1.0,60.773,43.827
1.0,34.37,58.118
1.0,63.982,47.687
1.0,26.55,66.467
1.0,87.122,85.691
2.0,41.519,83.643
1.0,90.408,75.582
2.0,52.164,82.819
1.0,39.948,45.657
2.0,73.624,10.331
1.0,99.236,90.76
2.0,13.227,1.855
1.0,17.697,20.855
1.0,3.366,93.077
1.0,4.877,87.098
1.0,18.616,52.926
2.0,68.959,19.618
2.0,25.178,83.084
1.0,10.106,59.802
2.0,86.044,92.955
2.0,48.901,89.202
2.0,66.254,25.629
2.0,49.335,54.837
2.0,91.427,5.73
2.0,68.828,71.643
2.0,43.404,90.631
2.0,95.226,98.41
1.0,97.995,56.393
2.0,76.647,90.549
1.0,74.326,39.85
2.0,44.367,65.228
2.0,62.195,67.623
1.0,30.654,36.267
1.0,79.608,53.868
2.0,63.551,68.644
2.0,64.375,64.67
1.0,8.979,86.894
1.0,13.258,63.3
2.0,59.019,8.987
1.0,2.636,31.374
2.0,19.259,97.586
2.0,60.085,34.491
2.0,72.811,76.741
2.0,65.096,7.122
1.0,73.619,48.661
1.0,74.467,61.793
2.0,56.002,77.933
1.0,22.378,70.545
2.0,35.658,0.732
1.0,23.681,53.004
2.0,83.057,5.879
2.0,69.432,94.438
1.0,90.639,52.852
1.0,5.53,24.044
2.0,59.656,30.643
1.0,6.715,68.875
2.0,50.419,17.842
1.0,77.666,64.05
2.0,57.221,12.155
1.0,0.974,69.243
1.0,88.559,67.874
1.0,86.714,48.816
2.0,33.783,95.272
1.0,87.129,72.637
1.0,98.373,15.311
2.0,8.728,8.632
2.0,64.487,24.356
1.0,82.223,55.236
1.0,25.525,58.956
1.0,3.311,75.371
1.0,91.966,66.479
1.0,2.162,9.011
1.0,78.311,55.509
2.0,41.095,29.645
1.0,75.691,45.399
2.0,38.819,21.644
1.0,81.238,44.014
2.0,46.446,59.466
2.0,51.077,6.576
