y,x1,x2
2.0,12.668,63.315
1.0,33.121,73.174
2.0,8.993,59.131
2.0,8.819,77.969
1.0,28.408,89.352
1.0,80.181,84.246
1.0,51.33,70.04
1.0,26.074,99.57
1.0,40.427,84.232
1.0,73.796,77.992
1.0,56.876,91.387
1.0,41.532,58.591
2.0,12.88,84.806
2.0,65.651,46.467
2.0,30.149,65.731
1.0,57.753,35.43
2.0,88.511,43.595
2.0,99.169,95.188
1.0,40.443,74.71
1.0,52.874,56.751
1.0,40.48,22.805
2.0,9.323,15.206
2.0,27.382,31.059
2.0,27.218,67.772
2.0,77.139,24.413
2.0,84.645,47.181
1.0,56.663,4.075
1.0,44.829,22.449
2.0,77.319,23.077
1.0,36.555,71.755
2.0,85.676,35.065
1.0,41.468,74.513
2.0,32.289,61.016
1.0,61.513,86.285
1.0,50.175,68.516
1.0,48.541,44.715
1.0,30.111,13.41
1.0,41.74,59.006
2.0,73.212,44.61
2.0,7.894,47.225
1.0,55.423,28.052
2.0,46.998,50.954
1.0,34.445,29.177
1.0,44.158,76.723
2.0,1.722,20.672
2.0,74.014,46.826
2.0,5.716,64.569
1.0,38.983,80.958
1.0,42.833,28.178
2.0,85.212,42.098
2.0,86.655,68.939
1.0,19.826,91.74
2.0,26.029,53.659
2.0,4.983,74.263
2.0,23.42,55.24
1.0,79.553,95.38
2.0,98.766,90.518
1.0,70.167,12.956
2.0,13.319,25.919
1.0,56.286,39.475
1.0,40.417,32.7
1.0,49.506,52.846
1.0,80.454,12.982
1.0,52.377,54.938
1.0,56.132,82.313
1.0,50.765,82.065
1.0,65.252,79.717
2.0,18.414,39.945
1.0,57.475,28.036
2.0,43.558,49.194
2.0,93.661,75.183
2.0,27.816,44.867
1.0,79.892,14.593
2.0,18.813,39.469
2.0,82.982,77.882
1.0,35.36,30.0
1.0,59.466,85.895
2.0,72.509,61.661
2.0,9.198,47.682
1.0,30.238,13.899
1.0,38.056,8.808
2.0,94.197,65.798
2.0,77.798,31.399
1.0,62.923,86.908
1.0,73.519,98.845
1.0,58.194,19.469
2.0,95.713,73.658
2.0,5.016,46.194
1.0,56.851,74.81
2.0,96.65,81.608
1.0,75.238,82.022
2.0,40.437,40.615
2.0,83.24,23.956
2.0,97.046,15.919
1.0,78.752,92.17
2.0,24.538,64.901
1.0,18.288,82.491
2.0,25.294,33.76
1.0,68.757,81.956
1.0,48.013,55.71
1.0,2.706,99.678
2.0,72.978,49.019
2.0,7.792,32.614
2.0,62.147,38.479
1.0,34.881,23.527
1.0,52.375,66.71
2.0,1.458,36.447
1.0,91.918,96.634
1.0,16.167,95.364
1.0,68.825,25.611
1.0,29.643,20.378
2.0,90.797,57.929
2.0,96.228,39.295
1.0,43.561,59.547
2.0,73.64,26.56
1.0,26.24,23.03
2.0,4.565,33.247
1.0,32.692,74.742
1.0,74.442,16.937
2.0,7.529,51.543
2.0,28.905,47.798
2.0,95.206,88.893
1.0,73.63,10.873
1.0,19.145,92.725
2.0,74.78,53.823
2.0,68.937,57.639
2.0,73.671,37.698
2.0,5.828,14.659
2.0,83.693,66.452
1.0,24.796,9.355
1.0,27.608,99.272
2.0,92.662,27.218
2.0,85.914,35.841
1.0,62.14,34.497
1.0,14.135,96.01
2.0,18.719,27.437
1.0,22.809,14.687
2.0,93.713,71.93
2.0,26.646,33.817
2.0,93.043,50.962
2.0,86.943,66.859
2.0,3.671,45.918
2.0,62.146,43.142
2.0,4.143,45.25
1.0,59.03,19.971
2.0,23.082,55.309
1.0,65.079,29.212
1.0,10.011,94.065
1.0,42.964,93.724
2.0,28.735,63.218
2.0,82.693,41.001
1.0,75.293,19.704
1.0,49.741,45.306
2.0,97.564,88.901
1.0,59.752,98.184
2.0,6.407,23.369
2.0,1.559,83.19
2.0,29.011,37.173
1.0,87.45,95.626
1.0,30.824,78.552
2.0,21.018,21.288
1.0,63.812,11.002
2.0,53.512,48.194
2.0,95.975,50.746
1.0,41.962,0.757
2.0,30.82,59.828
1.0,82.575,15.012
1.0,42.035,96.527
1.0,56.822,26.934
2.0,24.63,62.503
2.0,73.19,65.509
1.0,30.193,14.832
2.0,89.925,14.102
1.0,9.558,92.333
1.0,19.795,81.196
2.0,69.322,42.776
2.0,73.193,60.905
1.0,6.962,95.926
1.0,23.536,84.222
2.0,9.558,25.386
1.0,56.872,31.579
1.0,16.845,97.067
2.0,24.628,31.04
1.0,35.423,16.021
2.0,21.28,72.824
2.0,15.92,39.044
2.0,31.046,47.217
2.0,20.18,39.047
1.0,46.084,99.177
1.0,63.275,36.466
2.0,89.564,58.903
1.0,92.634,95.205
1.0,68.374,24.926
2.0,78.659,67.235
2.0,93.395,81.311
2.0,98.284,27.003
1.0,32.54,30.274
1.0,60.491,11.348
2.0,77.471,68.495
1.0,67.839,8.524
2.0,11.19,17.069
1.0,57.577,36.445
1.0,28.938,84.506
1.0,86.574,0.218
2.0,72.717,35.578
2.0,98.597,73.182
2.0,92.384,34.323
2.0,31.348,59.544
2.0,23.678,71.7
1.0,65.417,20.661
2.0,0.733,6.644
2.0,66.704,51.173
1.0,41.364,9.241
1.0,5.325,0.588
2.0,25.823,30.97
2.0,9.507,43.921
2.0,78.132,68.998
1.0,38.588,70.965
2.0,88.784,38.115
1.0,30.41,91.782
1.0,12.762,5.505
2.0,93.191,43.202
2.0,80.574,36.288
2.0,92.599,69.088
1.0,58.123,12.173
1.0,57.749,89.973
1.0,70.775,86.978
2.0,28.747,34.783
2.0,0.242,30.008
1.0,47.818,14.685
1.0,22.014,98.687
1.0,50.555,74.795
2.0,99.286,28.632
2.0,24.799,59.859
1.0,38.082,69.047
2.0,63.013,38.425
2.0,96.995,17.979
1.0,41.817,97.779
2.0,93.138,28.587
2.0,84.981,83.716
1.0,49.645,23.366
2.0,1.872,16.733
1.0,85.442,92.186
2.0,35.376,48.003
1.0,59.124,34.953
1.0,43.657,41.755
2.0,4.241,59.287
2.0,5.449,75.193
1.0,39.672,13.005
2.0,6.233,57.907
2.0,5.778,32.308
2.0,70.578,49.456
2.0,4.057,12.019
2.0,9.346,19.898
1.0,67.294,77.76
1.0,72.551,1.045
2.0,42.92,53.149
2.0,17.567,78.859
2.0,21.921,38.539
2.0,98.77,74.147
1.0,40.358,36.509
2.0,9.714,53.045
1.0,41.76,79.158
2.0,71.41,48.308
2.0,81.062,49.726
1.0,57.25,99.268
1.0,44.579,89.373
1.0,39.626,34.455
2.0,67.163,66.349
2.0,7.304,72.101
1.0,50.612,28.187
1.0,87.472,3.731
1.0,37.891,67.824
2.0,77.114,55.169
2.0,96.758,40.809
2.0,74.328,29.842
1.0,45.6,7.602
2.0,31.471,61.848
2.0,2.954,26.81
1.0,21.142,8.194
1.0,62.787,4.593
2.0,11.656,32.101
2.0,0.466,26.127
2.0,83.938,69.99
2.0,14.424,16.026
2.0,88.375,62.013
1.0,30.744,25.85
2.0,86.452,19.413
1.0,38.571,8.854
1.0,32.151,79.568
2.0,93.78,56.249
1.0,73.295,6.02
2.0,20.343,44.051
1.0,46.331,65.694
1.0,53.033,79.439
1.0,74.272,2.261
2.0,94.721,26.407
2.0,6.768,59.119
2.0,90.296,88.222
2.0,99.202,32.072
1.0,92.755,99.623
2.0,86.46,64.704
2.0,0.336,60.571
2.0,99.793,67.675
2.0,87.219,60.417
2.0,7.537,67.968
1.0,19.408,89.017
1.0,75.143,77.147
1.0,67.929,73.269
2.0,90.797,67.687
2.0,85.453,76.663
2.0,37.168,45.391
2.0,68.121,44.339
2.0,99.959,44.301
1.0,36.279,21.886
1.0,84.705,89.678
2.0,10.338,83.232
2.0,70.871,51.454
1.0,63.873,70.563
1.0,8.634,5.719
2.0,86.72,56.729
1.0,55.353,7.305
2.0,32.566,62.733
1.0,43.03,92.515
2.0,4.011,87.869
1.0,53.392,43.191
1.0,59.165,62.567
1.0,54.698,81.58
2.0,4.988,10.639
1.0,17.397,8.135
1.0,26.685,23.69
2.0,4.978,30.379
2.0,17.006,37.601
1.0,23.878,22.038
2.0,38.322,61.293
2.0,92.786,38.507
2.0,3.159,24.493
1.0,59.681,14.256
2.0,26.549,34.889
2.0,34.452,34.54
1.0,20.471,12.559
2.0,93.833,30.943
2.0,86.969,78.788
2.0,94.951,83.668
1.0,2.652,99.911
1.0,50.014,68.266
1.0,63.063,80.071
2.0,66.145,45.389
1.0,41.742,16.69
2.0,8.525,28.67
2.0,90.805,76.469
2.0,2.424,58.585
2.0,59.935,55.438
1.0,47.613,85.77
2.0,35.33,62.211
2.0,81.082,41.795
1.0,47.684,47.13
1.0,89.112,96.067
1.0,44.206,70.552
2.0,59.783,40.961
1.0,20.158,81.91
1.0,56.755,33.563
2.0,22.175,28.1
2.0,92.981,79.849
1.0,42.763,20.686
2.0,11.17,68.166
1.0,74.426,78.784
2.0,23.31,40.268
1.0,74.9,19.424
1.0,15.329,93.471
1.0,55.718,29.307
2.0,4.769,26.592
